issuer,category,rating,maturity,yield
충북개발공사,공사/공단채 AA+,AA+,10.0,4.067
충청남도개발공사,공사/공단채 AA+,AA+,10.0,4.097
울산도시공사,공사/공단채 AA+,AA+,10.0,4.069
인천교통공사,공사/공단채 AA+,AA+,10.0,4.08
경기평택항만공사,공사/공단채 AA+,AA+,10.0,4.199
세종도시교통공사,공사/공단채 AA+,AA+,10.0,4.065
기업은행,금융채 은행채 AAA(중금-이표),AAA,15.0,4.131
산업은행,금융채 은행채 AAA(산금-이표),AAA,15.0,4.105
신한은행,금융채 은행채 AAA,AAA,15.0,4.208
스탠다드차타드은행,금융채 은행채 AAA,AAA,15.0,4.243
하나은행,금융채 은행채 AAA,AAA,15.0,4.208
아이엠뱅크,금융채 은행채 AAA,AAA,15.0,4.235
부산은행,금융채 은행채 AAA,AAA,15.0,4.235
국민은행,금융채 은행채 AAA,AAA,15.0,4.208
한국수출입은행,금융채 은행채 AAA,AAA,15.0,4.11
우리은행,금융채 은행채 AAA,AAA,15.0,4.208
수협은행,금융채 은행채 AAA,AAA,15.0,4.217
농협은행,금융채 은행채 AAA,AAA,15.0,4.208
제주은행,금융채 은행채 AA+,AA+,15.0,4.375
전북은행,금융채 은행채 AA+,AA+,15.0,4.347
경남은행,금융채 은행채 AA+,AA+,15.0,4.35
광주은행,금융채 은행채 AA+,AA+,15.0,4.36
예금보험공사(정부보증),공사/공단채 정부보증,AAA,15.0,3.754
한국장학재단,공사/공단채 정부보증,AAA,15.0,3.758
한국전력공사,공사/공단채 AAA,AAA,15.0,3.958
농협중앙회,공사/공단채 AAA,AAA,15.0,3.839
수협중앙회,공사/공단채 AAA,AAA,15.0,3.869
한국자산관리공사,공사/공단채 AAA,AAA,15.0,3.831
한국가스공사,공사/공단채 AAA,AAA,15.0,3.864
주택도시보증공사,공사/공단채 AAA,AAA,15.0,3.827
한국도로공사,공사/공단채 AAA,AAA,15.0,3.816
중소벤처기업진흥공단,공사/공단채 AAA,AAA,15.0,3.805
여수광양항만공사,공사/공단채 AAA,AAA,15.0,3.906
인천국제공항공사,공사/공단채 AAA,AAA,15.0,3.894
농어촌공사,공사/공단채 AAA,AAA,15.0,3.849
경기주택도시공사,공사/공단채 AAA,AAA,15.0,3.948
한국석유공사,공사/공단채 AAA,AAA,15.0,3.815
국가철도공단,공사/공단채 AAA,AAA,15.0,3.832
지역난방공사,공사/공단채 AAA,AAA,15.0,3.813
한국주택금융공사,공사/공단채 AAA,AAA,15.0,3.829
서울주택도시공사,공사/공단채 AAA,AAA,15.0,3.901
한국철도공사,공사/공단채 AAA,AAA,15.0,3.798
부산교통공사,공사/공단채 AAA,AAA,15.0,3.907
부산항만공사,공사/공단채 AAA,AAA,15.0,3.858
한국산업단지공단,공사/공단채 AAA,AAA,15.0,3.824
인천항만공사,공사/공단채 AAA,AAA,15.0,3.879
한국토지주택공사,공사/공단채 AAA,AAA,15.0,3.818
울산항만공사,공사/공단채 AAA,AAA,15.0,3.837
한국수자원공사,공사/공단채 AAA,AAA,15.0,3.803
서울교통공사,공사/공단채 AAA,AAA,15.0,3.932
한국해양진흥공사,공사/공단채 AAA,AAA,15.0,3.805
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,15.0,3.86
한국공항공사,공사/공단채 AAA,AAA,15.0,3.889
광해광업공단,공사/공단채 AAA,AAA,15.0,3.944
평택도시공사,공사/공단채 AA0,AA,15.0,4.25
용인도시공사,공사/공단채 AA0,AA,15.0,4.325
하남도시공사,공사/공단채 AA0,AA,15.0,4.298
김해시도시개발공사,공사/공단채 AA0,AA,15.0,4.242
과천도시공사,공사/공단채 AA0,AA,15.0,4.31
고양도시관리공사,공사/공단채 AA0,AA,15.0,4.285
안산도시공사,공사/공단채 AA0,AA,15.0,4.315
안양도시공사,공사/공단채 AA0,AA,15.0,4.223
대구도시개발공사,공사/공단채 AA+,AA+,15.0,4.082
부산도시공사,공사/공단채 AA+,AA+,15.0,4.04
대전도시공사,공사/공단채 AA+,AA+,15.0,4.067
대구교통공사,공사/공단채 AA+,AA+,15.0,4.112
광주광역시도시공사,공사/공단채 AA+,AA+,15.0,4.122
인천도시공사,공사/공단채 AA+,AA+,15.0,4.1
경남개발공사,공사/공단채 AA+,AA+,15.0,4.082
경상북도개발공사,공사/공단채 AA+,AA+,15.0,4.097
전남개발공사,공사/공단채 AA+,AA+,15.0,4.052
충북개발공사,공사/공단채 AA+,AA+,15.0,4.072
충청남도개발공사,공사/공단채 AA+,AA+,15.0,4.105
울산도시공사,공사/공단채 AA+,AA+,15.0,4.067
인천교통공사,공사/공단채 AA+,AA+,15.0,4.087
경기평택항만공사,공사/공단채 AA+,AA+,15.0,4.197
세종도시교통공사,공사/공단채 AA+,AA+,15.0,4.062
기업은행,금융채 은행채 AAA(중금-이표),AAA,20.0,4.261
산업은행,금융채 은행채 AAA(산금-이표),AAA,20.0,4.227
신한은행,금융채 은행채 AAA,AAA,20.0,4.34
스탠다드차타드은행,금융채 은행채 AAA,AAA,20.0,4.365
하나은행,금융채 은행채 AAA,AAA,20.0,4.34
아이엠뱅크,금융채 은행채 AAA,AAA,20.0,4.365
부산은행,금융채 은행채 AAA,AAA,20.0,4.363
국민은행,금융채 은행채 AAA,AAA,20.0,4.34
한국수출입은행,금융채 은행채 AAA,AAA,20.0,4.229
우리은행,금융채 은행채 AAA,AAA,20.0,4.34
수협은행,금융채 은행채 AAA,AAA,20.0,4.346
농협은행,금융채 은행채 AAA,AAA,20.0,4.34
제주은행,금융채 은행채 AA+,AA+,20.0,4.551
전북은행,금융채 은행채 AA+,AA+,20.0,4.529
경남은행,금융채 은행채 AA+,AA+,20.0,4.529
광주은행,금융채 은행채 AA+,AA+,20.0,4.537
예금보험공사(정부보증),공사/공단채 정부보증,AAA,20.0,3.75
한국장학재단,공사/공단채 정부보증,AAA,20.0,3.75
한국전력공사,공사/공단채 AAA,AAA,20.0,3.96
농협중앙회,공사/공단채 AAA,AAA,20.0,3.84
수협중앙회,공사/공단채 AAA,AAA,20.0,3.865
한국자산관리공사,공사/공단채 AAA,AAA,20.0,3.832
한국가스공사,공사/공단채 AAA,AAA,20.0,3.863
주택도시보증공사,공사/공단채 AAA,AAA,20.0,3.846
한국도로공사,공사/공단채 AAA,AAA,20.0,3.78
중소벤처기업진흥공단,공사/공단채 AAA,AAA,20.0,3.805
여수광양항만공사,공사/공단채 AAA,AAA,20.0,3.903
인천국제공항공사,공사/공단채 AAA,AAA,20.0,3.893
농어촌공사,공사/공단채 AAA,AAA,20.0,3.843
경기주택도시공사,공사/공단채 AAA,AAA,20.0,3.956
한국석유공사,공사/공단채 AAA,AAA,20.0,3.821
국가철도공단,공사/공단채 AAA,AAA,20.0,3.817
지역난방공사,공사/공단채 AAA,AAA,20.0,3.828
한국주택금융공사,공사/공단채 AAA,AAA,20.0,3.83
서울주택도시공사,공사/공단채 AAA,AAA,20.0,3.909
한국철도공사,공사/공단채 AAA,AAA,20.0,3.794
부산교통공사,공사/공단채 AAA,AAA,20.0,3.908
부산항만공사,공사/공단채 AAA,AAA,20.0,3.848
한국산업단지공단,공사/공단채 AAA,AAA,20.0,3.827
인천항만공사,공사/공단채 AAA,AAA,20.0,3.873
한국토지주택공사,공사/공단채 AAA,AAA,20.0,3.806
울산항만공사,공사/공단채 AAA,AAA,20.0,3.835
한국수자원공사,공사/공단채 AAA,AAA,20.0,3.78
서울교통공사,공사/공단채 AAA,AAA,20.0,3.932
한국해양진흥공사,공사/공단채 AAA,AAA,20.0,3.807
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,20.0,3.856
한국공항공사,공사/공단채 AAA,AAA,20.0,3.883
광해광업공단,공사/공단채 AAA,AAA,20.0,3.949
평택도시공사,공사/공단채 AA0,AA,20.0,4.301
용인도시공사,공사/공단채 AA0,AA,20.0,4.372
하남도시공사,공사/공단채 AA0,AA,20.0,4.344
김해시도시개발공사,공사/공단채 AA0,AA,20.0,4.271
과천도시공사,공사/공단채 AA0,AA,20.0,4.359
고양도시관리공사,공사/공단채 AA0,AA,20.0,4.326
안산도시공사,공사/공단채 AA0,AA,20.0,4.364
안양도시공사,공사/공단채 AA0,AA,20.0,4.251
대구도시개발공사,공사/공단채 AA+,AA+,20.0,4.113
부산도시공사,공사/공단채 AA+,AA+,20.0,4.078
대전도시공사,공사/공단채 AA+,AA+,20.0,4.094
대구교통공사,공사/공단채 AA+,AA+,20.0,4.146
광주광역시도시공사,공사/공단채 AA+,AA+,20.0,4.144
인천도시공사,공사/공단채 AA+,AA+,20.0,4.135
경남개발공사,공사/공단채 AA+,AA+,20.0,4.119
경상북도개발공사,공사/공단채 AA+,AA+,20.0,4.13
전남개발공사,공사/공단채 AA+,AA+,20.0,4.076
충북개발공사,공사/공단채 AA+,AA+,20.0,4.108
충청남도개발공사,공사/공단채 AA+,AA+,20.0,4.135
울산도시공사,공사/공단채 AA+,AA+,20.0,4.106
인천교통공사,공사/공단채 AA+,AA+,20.0,4.12
경기평택항만공사,공사/공단채 AA+,AA+,20.0,4.236
세종도시교통공사,공사/공단채 AA+,AA+,20.0,4.11
한국전력공사,공사/공단채 AAA,AAA,30.0,3.864
농협중앙회,공사/공단채 AAA,AAA,30.0,3.751
수협중앙회,공사/공단채 AAA,AAA,30.0,3.783
한국자산관리공사,공사/공단채 AAA,AAA,30.0,3.747
한국가스공사,공사/공단채 AAA,AAA,30.0,3.771
주택도시보증공사,공사/공단채 AAA,AAA,30.0,3.753
한국도로공사,공사/공단채 AAA,AAA,30.0,3.668
중소벤처기업진흥공단,공사/공단채 AAA,AAA,30.0,3.709
여수광양항만공사,공사/공단채 AAA,AAA,30.0,3.823
인천국제공항공사,공사/공단채 AAA,AAA,30.0,3.816
농어촌공사,공사/공단채 AAA,AAA,30.0,3.761
경기주택도시공사,공사/공단채 AAA,AAA,30.0,3.874
한국석유공사,공사/공단채 AAA,AAA,30.0,3.727
국가철도공단,공사/공단채 AAA,AAA,30.0,3.719
지역난방공사,공사/공단채 AAA,AAA,30.0,3.743
한국주택금융공사,공사/공단채 AAA,AAA,30.0,3.741
서울주택도시공사,공사/공단채 AAA,AAA,30.0,3.815
한국철도공사,공사/공단채 AAA,AAA,30.0,3.69
부산교통공사,공사/공단채 AAA,AAA,30.0,3.818
부산항만공사,공사/공단채 AAA,AAA,30.0,3.76
한국산업단지공단,공사/공단채 AAA,AAA,30.0,3.736
인천항만공사,공사/공단채 AAA,AAA,30.0,3.791
한국토지주택공사,공사/공단채 AAA,AAA,30.0,3.699
울산항만공사,공사/공단채 AAA,AAA,30.0,3.75
한국수자원공사,공사/공단채 AAA,AAA,30.0,3.671
서울교통공사,공사/공단채 AAA,AAA,30.0,3.848
한국해양진흥공사,공사/공단채 AAA,AAA,30.0,3.703
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,30.0,3.759
한국공항공사,공사/공단채 AAA,AAA,30.0,3.801
광해광업공단,공사/공단채 AAA,AAA,30.0,3.857
