date,maturity,yield
2025-01-31,2.5,2.824
2025-01-31,3.0,2.817
2025-01-31,4.0,2.876
2025-01-31,5.0,2.947
2025-01-31,7.0,3.011
2025-01-31,10.0,3.06
2025-01-31,15.0,2.972
2025-01-31,20.0,2.966
2025-01-31,30.0,2.952
2025-02-03,0.25,2.973
2025-02-03,0.5,2.974
2025-02-03,0.75,2.848
2025-02-03,1.0,2.806
2025-02-03,1.5,2.81
2025-02-03,2.0,2.812
2025-02-03,2.5,2.809
2025-02-03,3.0,2.811
2025-02-03,4.0,2.863
2025-02-03,5.0,2.931
2025-02-03,7.0,2.984
2025-02-03,10.0,3.025
2025-02-03,15.0,2.946
2025-02-03,20.0,2.949
2025-02-03,30.0,2.925
2025-02-04,0.25,2.967
2025-02-04,0.5,2.97
2025-02-04,0.75,2.849
2025-02-04,1.0,2.801
2025-02-04,1.5,2.818
2025-02-04,2.0,2.821
2025-02-04,2.5,2.829
2025-02-04,3.0,2.831
2025-02-04,4.0,2.876
2025-02-04,5.0,2.947
2025-02-04,7.0,3.002
2025-02-04,10.0,3.043
2025-02-04,15.0,2.961
2025-02-04,20.0,2.966
2025-02-04,30.0,2.91
2025-02-05,0.25,2.962
2025-02-05,0.5,2.966
2025-02-05,0.75,2.842
2025-02-05,1.0,2.792
2025-02-05,1.5,2.817
2025-02-05,2.0,2.819
2025-02-05,2.5,2.824
2025-02-05,3.0,2.823
2025-02-05,4.0,2.861
2025-02-05,5.0,2.918
2025-02-05,7.0,2.971
2025-02-05,10.0,3.015
2025-02-05,15.0,2.931
2025-02-05,20.0,2.915
2025-02-05,30.0,2.865
2025-02-06,0.25,2.953
2025-02-06,0.5,2.954
2025-02-06,0.75,2.838
2025-02-06,1.0,2.788
2025-02-06,1.5,2.827
2025-02-06,2.0,2.833
2025-02-06,2.5,2.842
2025-02-06,3.0,2.839
2025-02-06,4.0,2.869
2025-02-06,5.0,2.918
2025-02-06,7.0,2.962
2025-02-06,10.0,3.006
2025-02-06,15.0,2.924
2025-02-06,20.0,2.913
2025-02-06,30.0,2.88
2025-02-07,0.25,2.953
2025-02-07,0.5,2.955
2025-02-07,0.75,2.841
2025-02-07,1.0,2.789
